Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Included / International,Price / International,Compare At Price / International,Status
63672a031c84e90547f970b1,Patron El Alto Reposado Tequila Jalisco Mexico,"Patron to enter the prestige tequila market
BYCHRIS MORRIS
November 4, 2022 at 11:48 AM EDT
Patron Tequila is ready to take a spot on the top shelf.

The company, on Monday, will debut Patron El Alto, a prestige new tequila expression that will be the company’s first foray into the super-premium space.

“We’ve been bold innovators when it comes to tequila,” D-J Hageman, vice president of marketing at Patron, tells Fortune. “This is us making a statement again.”

The new expression is made from agave grown in the highest parts of Jalisco, Mexico, which the company says yields the sweetest flavors. It combines Reposado, Añejo, and Extra Añejo tequilas aged in 11 types of barrels, resulting in a complex drink that is incredibly smooth with hints of vanilla, caramel, and fruit.

It has been a four-year development process for the company to launch El Alto, with more than 300 tastings internally to ensure master distiller David Rodriguez and his team got precisely the flavor they were striving for. Despite that time frame, quantities of the tequila are limited.

El Alto will sell for a suggested retail price of $179 and will initially only be available in New York, Miami, Las Vegas, and Los Angeles. As you might expect with the price tag, this isn’t the tequila you want to grab when mixing a margarita. It’s best enjoyed neat, though on the rocks is acceptable.
Tequila has been having a moment over the past few years. A report from CGA Strategy, published in September, found that people are increasingly opting for the agave-based beverage over brown liquors. It is, in fact, the only major spirit to show share growth this year.

A big part of that is coming from premium and super-premium offerings (the categorization comes down to the aging process and the use of 100% blue agave in the creation of the beverage). The Distilled Spirits Council of the US says sales of luxury spirits grew 43% in the last year, with tequila and American whiskey leading the charge. Tequila saw a 75% annual growth rate in that time.

“This is the pinnacle of what Patron thinks prestige tequila should be,” says Hageman.",Patron,,"alcohol, spirits, tequila","alcohol, spirits, tequila, tequila",TRUE,SIZE,750ml,,,,,,,shopify,2,deny,manual,214.49,134.39,TRUE,TRUE,7.22E+11,https://d3omj40jjfp5tk.cloudfront.net/products/63a228249b53e528f7863cbd/original.png,1,,FALSE,,,,,,,,,,,,,,,,,g,,,TRUE,TRUE,,,active
60beb08ad4b88e36aee225d1,Yarden Merlot Golan Heights Winery,"Yarden Merlot exhibits attractive layers of black tea, orange blossom and Mediterranean herbs. This elegant full-bodied Merlot displays great varietal flavor as it should having been aged in French oak barrels for fourteen months. <p><strong>Notes: </strong>Dry, full-bodied. Aromas of berry and cherry with flavors of black cherry, pomegranate, orange and aniseed</p> <p><strong>Pairings: </strong>Gouda, berries, grilled meat</p> <p><strong>Serving Suggestions: </strong>65-70F</p> <p><strong>Region:</strong> Israel</p> <p><strong>Alcohol Content:</strong> 15%</p>",Golan Heights Winery,,"alcohol, wine, kosher, red","alcohol, wine, kosher, red, kosher, red",TRUE,SIZE,750ml,,,,,,,shopify,92,deny,manual,31.89,21.76,TRUE,TRUE,7.36E+11,https://d3omj40jjfp5tk.cloudfront.net/products/57342cfd69702d3049b50100/original.png,1,,FALSE,,,,,,,,,,,,,,,,,g,,,TRUE,TRUE,,,active
60ce670fe3dc1178857b0481,Pure The Winery White Blend Zero Sugar,,,,"alcohol, wine, white","alcohol, wine, white, white",TRUE,SIZE,750ml,,,,,,,shopify,12,deny,manual,14.29,10.33,TRUE,TRUE,8.94E+11,,1,,FALSE,,,,,,,,,,,,,,,,,g,,,TRUE,TRUE,,,active
5fb602d2a56d353b27d383ca,Segal Galilee Cabernet Sauvignon Unfiltered Mev,"The Segal's Unfiltered Cabernet Sauvignon is a rustic, intense wine that you need to approach with caution. But like many wild beasts, once it sees your intentions are good it will become a friend for life. This wine was first crafted by famed winemaker, Avi Feldstein, who took bold and innovative steps in producing this sought after wine. Deep red color, with notes of black currant, blackberry and mint.",Segal's Wines,,", kosher",", kosher, kosher",TRUE,SIZE,750ml,,,,,,,shopify,13,deny,manual,86.89,66.67,TRUE,TRUE,87752009321,https://d3omj40jjfp5tk.cloudfront.net/products/5f073c77388cd641e03ce20d/original.png,1,,FALSE,,,,,,,,,,,,,,,,,g,,,TRUE,TRUE,,,active
5fb6041ba56d353b27d427a6,Jim Beam Repeal Batch Kentucky Straight Bourbon Whiskey,,Jim Beam,,"alcohol, spirits, bourbon, whiskey","alcohol, spirits, bourbon, whiskey, bourbon, whiskey",TRUE,SIZE,1L,,,,,,,shopify,4,deny,manual,16.49,15.38,TRUE,TRUE,80686004035,https://d3omj40jjfp5tk.cloudfront.net/products/5f1494f07900b7177b7088d5/original.png,1,,FALSE,,,,,,,,,,,,,,,,,g,,,TRUE,TRUE,,,active
5fb6035ea56d353b27d3c983,Stella Rosa Green Apple Moscato,STELLA ROSA GREEN APPLE 750ML,,,"alcohol, wine, dessert, white","alcohol, wine, dessert, white, dessert, white",TRUE,SIZE,750ml,,,,,,,shopify,42,deny,manual,12.09,8.33,TRUE,TRUE,87872633901,https://d3omj40jjfp5tk.cloudfront.net/products/5b355de5eae82762c7bd7db5/original.png,1,,FALSE,,,,,,,,,,,,,,,,,g,,,TRUE,TRUE,,,active
5fb60c09dc972125809b3312,Rochioli Pinoir 98/99 Aaa,,,,"alcohol, wine, ","alcohol, wine, , ",TRUE,SIZE,750ml,,,,,,,shopify,1,deny,manual,37.39,27.92,TRUE,TRUE,,,1,,FALSE,,,,,,,,,,,,,,,,,g,,,TRUE,TRUE,,,active
604bb18934a9670a7af5feab,Svedka Straw Lemonade,,,,"alcohol, spirits, vodka","alcohol, spirits, vodka, vodka",TRUE,SIZE,1.75L,,,,,,,shopify,7,deny,manual,23.09,17.6,TRUE,TRUE,,,1,,FALSE,,,,,,,,,,,,,,,,,g,,,TRUE,TRUE,,,active
604298ca5a0cfc3822aeaf1e,Pueblo Viejo Anejo,,,,"alcohol, spirits, rum","alcohol, spirits, rum, rum",TRUE,SIZE,375ml,,,,,,,shopify,27,deny,manual,7.47,5.3,TRUE,TRUE,13770000040,,1,,FALSE,,,,,,,,,,,,,,,,,g,,,TRUE,TRUE,,,active
6375abf91534ce09ff106699,Johnnie Walker Blue Label Ghost And Rare Port Dundas Scotch Scotland,"The limited-edition Johnnie Walker Ghost and Rare series is crafted from exceptional “ghost” whiskies and other rare expressions from the Johnnie Walker family, used to create the award-winning Johnnie Walker Blue Label. This latest release explores the character of rare whiskies from one of the world’s most famous grain whisky distilleries, the Glasgow “ghost” distillery of Port Dundas, which is nestled on the banks of the Forth and Clyde Canal. Built in 1811, Port Dundas became a whisky blending powerhouse thanks to its distinctive sweet and delicate grain character. It closed down in 2010.
The Johnnie Walker team of expert whisky makers, led by Johnnie Walker master blender Emma Walker, handpicked the most distinctive expressions of maturing whisky from Port Dundas for this new release.

“Port Dundas was, in its day, one of the finest grain whisky distilleries in the world, and the rare expressions that we have chosen from our reserves are some of the most distinctive it has ever produced. Their slow maturation allows the sweet and delicate grain character to blossom. These rare whiskies highlight the distillery character of Port Dundas, perfectly showcasing the wonderful depth of flavor that this Grain Whisky brings to Johnnie Walker Blue Label. It’s an incredible character that inspired us to create something truly extraordinary that pays proper tribute to the whisky makers of this storied Glasgow distillery,” stated Walker.",Johnnie Walker,,"alcohol, spirits, scotch","alcohol, spirits, scotch, scotch",TRUE,SIZE,750ml,,,,,,,shopify,12,deny,manual,439.99,277.5,TRUE,TRUE,88076187870,https://d3omj40jjfp5tk.cloudfront.net/products/63a22f4d8742d4459fb48639/original.png,1,,FALSE,,,,,,,,,,,,,,,,,g,,,TRUE,TRUE,,,active
5fb60317a56d353b27d3a59c,El Dorado 12 Year Rum,"A blend of specially selected aged rums, the youngest being no less than 12 years old, it is a combination of the Enmore and Diamond Coffey stills and the Port Mourant double wooden pot still, blended to perfection and aged in old bourbon oak casks.

Lush tropical fruit and spice nose with hints of honey and dark sugar. Round, mellow, full-bodied palate with rich flavors of fruit and spice. The finish is delightful, elegant and dry.

Production: El Dorado 12-Year Rum is composed of a blend of aged rums, all at least 12 years old. The rums are distilled using a combination of stills including double wooden pot stills and are aged in bourbon oak casks.

Demerara Distillers of Guyana produces El Dorado 12-year rum and is the country's last remaining distillery, with origins tracing back to 1670. The name """"El Dorado"""" references the legendary city of gold that is said to be in the country's Rupununi region.",El Dorado Rum,,"alcohol, spirits, rum","alcohol, spirits, rum, rum",TRUE,SIZE,750ml,,,,,,,shopify,73,deny,manual,35.19,26,TRUE,TRUE,7.12E+11,https://d3omj40jjfp5tk.cloudfront.net/products/615f23515767112aca073dc6/original.png,1,,FALSE,,,,,,,,,,,,,,,,,g,,,TRUE,TRUE,,,active
5fb655c70a17862a88a492bc,Chateau Leoville Poyferre 2017,,,,"alcohol, wine, ","alcohol, wine, , ",TRUE,SIZE,750ml,,,,,,,shopify,2,deny,manual,198.99,143.37,TRUE,TRUE,87752007822,,1,,FALSE,,,,,,,,,,,,,,,,,g,,,TRUE,TRUE,,,active
62642cd01528765846252b85,Orphan Barrel Fable & Folly 14 Year Old Whiskey,"United States- This 14-year-old whiskey is a unique balance of age and flavor accenting the rich, creamy character of the orphaned bourbons with the spicy notes of rye and pepper. It begins with a burst of spice and delicately warms to a creamy richness w/ sweet notes of syrup & fruit.",Foley,,"alcohol, spirits, whiskey","alcohol, spirits, whiskey, whiskey",TRUE,SIZE,750ml,,,,,,,shopify,11,deny,manual,164.99,112.5,TRUE,TRUE,82000798422,https://d3omj40jjfp5tk.cloudfront.net/products/630ceaa373669125cba2e841/original.png,1,,FALSE,,,,,,,,,,,,,,,,,g,,,TRUE,TRUE,,,active
62363a47dccacb203e425be7,Old Parr 18 Years,,,,"alcohol, spirits, scotch, whiskey","alcohol, spirits, scotch, whiskey, scotch, whiskey",TRUE,SIZE,750ml,,,,,,,shopify,9,deny,manual,76.99,49.5,TRUE,TRUE,,,1,,FALSE,,,,,,,,,,,,,,,,,g,,,TRUE,TRUE,,,active
5fb603f3a56d353b27d41453,Meiomi Pinot Noir,"Meiomi Pinot Noir Red Wine offers unique structure and depth seldom seen in a pinot noir wine. This California wine is carefully crafted with premium grapes from the coastal state's most notable winegrowing regions and aged in French oak barrels, culminating in a beautifully integrated blend that allows the characteristics to enhance and build on each other. With a rich garnet color and a ruby edge, this dark red wine opens with aromas of jammy fruit and toasty oak. Each sip of this Meiomi wine offers expressive dark berry and juicy strawberry flavors accompanied by toasty mocha and vanilla flavors. The silky texture and balanced acidity of this California red wine make it a perfect tabletop companion to thin crust pizza, so enjoy a glass of wine with your favorite slice. This award-winning Meiomi Pinot Noir offers an unrivaled, full-bodied taste with a lengthy finish, no matter the meal. Serve this bottle of wine at your next get-together for an evocative and memorable impression. For optimal enjoyment of this delicious red wine, store this 750 mL wine bottle at room temperature, but chill it for approximately 60 minutes before serving at 55 to 58 degrees. Meiomi Pinot Noir distinguishes itself as an elegant, balanced, and flavor-forward wine unlike any other. Please enjoy our wines responsibly. © 2022 Meiomi Wines, Acampo, CA",Meiomi,,"alcohol, wine, red","alcohol, wine, red, red",TRUE,SIZE,750ml,,,,,,,shopify,343,deny,manual,15.99,14.67,TRUE,TRUE,8.55E+11,https://d3omj40jjfp5tk.cloudfront.net/products/62e9beebbc945925cfb9d8e1/original.png,1,,FALSE,,,,,,,,,,,,,,,,,g,,,TRUE,TRUE,,,active
5fb60265a56d353b27d34ae1,Barkan Special Reserve Chardonnay Winemakers Choice,"vineyard in the Jerusalem Hills and Rehania in the Upper Galilee which are characterized by poor soil and relatively low temperatures. This fine wine, which has been aged in oak barrels for 6 months, is rich and elegant with a fine combination of the tastes of the fruit and the aromas of the oak.",,,"alcohol, wine, white","alcohol, wine, white, white",TRUE,SIZE,750ml,,,,,,,shopify,54,deny,manual,21.99,13.28,TRUE,TRUE,87752017548,https://d3omj40jjfp5tk.cloudfront.net/products/5f06cd6aca0da8685ffc5ab4/original.png,1,,FALSE,,,,,,,,,,,,,,,,,g,,,TRUE,TRUE,,,active
5fb66cbbfd7be66d0e1f809f,Papi Sangria Borgona Dulce Sangria,,,,"alcohol, wine, red","alcohol, wine, red, red",TRUE,SIZE,187ml,,,,,,,shopify,43,deny,manual,2.19,1.33,TRUE,TRUE,8.59E+11,https://d3omj40jjfp5tk.cloudfront.net/products/57b17bd569702d0197770200/original.png,1,,FALSE,,,,,,,,,,,,,,,,,g,,,TRUE,TRUE,,,active
5fb60334a56d353b27d3b373,Seagram's 7,"Put your feet up, relax and let the crisp aroma of Seagram's 7 Crown American Blended Whiskey envelop you. Our whiskey has a smooth, slightly sweet taste that leaves your palate with a creamy, vanilla finish. Our American whiskey is 80 proof and carefully blended and aged in oak barrels to bring out its bold flavors. Simply mix Seagram's 7 Crown Blended American Whiskey and lemon-lime soda in a highball glass with ice for a signature 7 & 7 cocktail. Includes one 80 proof 1 L bottle of American Blended Whiskey. Please drink responsibly.",,,"alcohol, spirits, whiskey","alcohol, spirits, whiskey, whiskey",TRUE,SIZE,1L,,,,,,,shopify,8,deny,manual,23.09,18.25,TRUE,TRUE,87000007321,https://d3omj40jjfp5tk.cloudfront.net/products/609490833bd4d230ad400d4e/original.png,1,,FALSE,,,,,,,,,,,,,,,,,g,,,TRUE,TRUE,,,active
5fb60334a56d353b27d3b373,,,,,,,,,1.75L,,,,,,,shopify,4,deny,manual,26.39,,TRUE,TRUE,87000700703,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5fb603c7a56d353b27d3ff64,Alizé Red Passion,"Alize Red Passion is an exotic blend of smooth premium French vodka and Alize VS Cognac infused with succulent Brazilian passion fruit, juicy Canadian cranberries and subtle hints of fresh peaches from Chile for a luxurious flavour.",Alizé,,"alcohol, spirits, liqueur","alcohol, spirits, liqueur, liqueur",TRUE,SIZE,1L,,,,,,,shopify,36,deny,manual,25.29,17.66,TRUE,TRUE,84692201198,https://d3omj40jjfp5tk.cloudfront.net/products/57342dcd69702d3049d60200/original.png,1,,FALSE,,,,,,,,,,,,,,,,,g,,,TRUE,TRUE,,,active
6334c916587838434f2a8a16,Teremana Small Batch Tequila Anejo,"Delivers delicious notes of rich warm oak and vanilla with a lightly sweet and complex finish. Cool, sexy, elegant, smooth and absolutely delicious. Teremana Añejo is the new gold standard of ultra-premium Tequila.  It’s made only with fully mature Highlands agave, roasted in traditional brick ovens, distilled in handmade copper pot stills and aged in American whiskey barrels.",Teremana,,"alcohol, spirits, tequila","alcohol, spirits, tequila, tequila",TRUE,SIZE,750ml,,,,,,,shopify,65,deny,manual,43.99,31.33,TRUE,TRUE,8.50E+11,https://d3omj40jjfp5tk.cloudfront.net/products/644af00f222a4c4303845326/original.png,1,,FALSE,,,,,,,,,,,,,,,,,g,,,TRUE,TRUE,,,active
5fb601d1a56d353b27d3005e,Decoy Pinot Noir,"This alluring Pinot Noir offers beautiful layers of black cherry, currant, and strawberry, with subtle notes of rustic forest floor and spice. On the palate, it is soft and silky, with balanced acidity framing the vibrant berry flavors and carrying the wine to a long, lush finish.",Decoy,,"alcohol, wine, red","alcohol, wine, red, red",TRUE,SIZE,750ml,,,,,,,shopify,56,deny,manual,20.89,14.67,TRUE,TRUE,6.70E+11,https://d3omj40jjfp5tk.cloudfront.net/products/5eebcc0d79fc932572cadafc/original.png,1,,FALSE,,,,,,,,,,,,,,,,,g,,,TRUE,TRUE,,,active
60bbf35a0e4de33a35e02c21,Chloe Rose,,,,"alcohol, wine, rose","alcohol, wine, rose, rose",TRUE,SIZE,750ml,,,,,,,shopify,30,deny,manual,12.09,8.67,TRUE,TRUE,,,1,,FALSE,,,,,,,,,,,,,,,,,g,,,TRUE,TRUE,,,active
5fb601ada56d353b27d2ee26,Manischewitz Concord Grape Wine KOSHER,"The Manischewitz winery is located in Canandaigua, New York, and is best known for its budget concord wine. It is aged in steel tanks at cold temperatures to maintain fruit aromas. A sweet wine with a pleasant mouth feel and a smooth aftertaste. A smooth fruity wine with plenty of grape flavor and a subtle aroma of confectionery flavors. The crisp acidity balances the sweetness and up front fruit aromas. The natural fruitiness allows this wine to be served chilled. Goes wonderfully with barbecued meats, and fruity desserts.",,,"alcohol, wine, kosher, red","alcohol, wine, kosher, red, kosher, red",TRUE,SIZE,750ml,,,,,,,shopify,30,deny,manual,7.69,5.33,TRUE,TRUE,85976033931,https://d3omj40jjfp5tk.cloudfront.net/products/622bbc0eb4ceea72969c31dd/original.png,1,,FALSE,,,,,,,,,,,,,,,,,g,,,TRUE,TRUE,,,active
617af2030e676d17233fee00,Tres Generaciones Plata,"Clean, spicy with sweet fruitiness in the background. Exceptionally well balanced, no bite or burn. Smooth, light with a clean tingle. Lingering white pepper, finishing clean and cool.",,,"alcohol, spirits, tequila","alcohol, spirits, tequila, tequila",TRUE,SIZE,750ml,,,,,,,shopify,16,deny,manual,47.29,33.61,TRUE,TRUE,80686836018,https://d3omj40jjfp5tk.cloudfront.net/products/5fe8ddad0643ad5b8fec0fc1/original.png,1,,FALSE,,,,,,,,,,,,,,,,,g,,,TRUE,TRUE,,,active
5fb6018ba56d353b27d2dc58,Jose Cuervo Especial Gold Tequila,"The world's leading brand of tequila. Smooth tasting, with a hint of sweetness and a rich, well-balanced character of oak, spice and vanilla tones. The classic margarita ingredient.",Jose Cuervo,,"alcohol, spirits, tequila","alcohol, spirits, tequila, tequila",TRUE,SIZE,750ml,,,,,,,shopify,40,deny,manual,21.99,15.99,TRUE,TRUE,8.12E+11,https://d3omj40jjfp5tk.cloudfront.net/products/621425ad3c5b992b26520793/original.png,1,,FALSE,,,,,,,,,,,,,,,,,g,,,TRUE,TRUE,,,active
639d23a5fe2f8f15c3f1edb4,Cape Tawny Port,,,,"alcohol, wine, port","alcohol, wine, port, port",TRUE,SIZE,750ml,,,,,,,shopify,24,deny,manual,9.89,6.75,TRUE,TRUE,,,1,,FALSE,,,,,,,,,,,,,,,,,g,,,TRUE,TRUE,,,active
5fb6041ea56d353b27d4290e,Kendall Jackson Vintner's Reserve Pinot Noir,"As one of Kendall-Jackson's flagship red wines, the Vintner's Reserve Pinot Noir highlights the vivid fruit flavors from the cool coast. This California pinot noir is crafted boutique-winery style in small individual lots throughout the winemaking process for flavor distinction. Kendall-Jackson is committed to producing only the finest quality wines from pinot noir grapes grown in California. This dark garnet red wine delivers bright cherry, strawberry and raspberry fruit with elegant earthy notes with cola and mild spice accents. Oak aging adds hints of vanilla and a soft, toasty finish. Pair with filet mignon, impossible burger, charcuterie platter and grilled sausages.  This bottled California pinot noir is 14.5% alcohol by volume.",Kendall Jackson,,"alcohol, wine, red","alcohol, wine, red, red",TRUE,SIZE,750ml,,,,,,,shopify,15,deny,manual,17.59,12.67,TRUE,TRUE,81584131519,https://d3omj40jjfp5tk.cloudfront.net/products/6167f669c9aed276618990dc/original.png,1,,FALSE,,,,,,,,,,,,,,,,,g,,,TRUE,TRUE,,,active
62dc497762d3357e51a8d8b4,Hunni Soju Peach And Chili Pepper Hunni Soju Peach,Uniquely flavored All nautral premium soju. Ktown is a blend Korean  and American cultures to reimagine a more premium  flavored soju for the next generation of soju drinkers.  Consumed over ice or in a cockatail as a modifier.,Hunni Soju,,"alcohol, spirits, sake","alcohol, spirits, sake, sake",TRUE,SIZE,355ml,,,,,,,shopify,42,deny,manual,3.29,2.67,TRUE,TRUE,86785101170,,1,,FALSE,,,,,,,,,,,,,,,,,g,,,TRUE,TRUE,,,active
62eaf3c45fdc164f7438c06c,Asombroso Silver,,,,"alcohol, spirits, tequila","alcohol, spirits, tequila, tequila",TRUE,SIZE,750ml,,,,,,,shopify,8,deny,manual,42.89,32,TRUE,TRUE,,,1,,FALSE,,,,,,,,,,,,,,,,,g,,,TRUE,TRUE,,,active
5fad42c031bd4325cbdec874,Taconic Str Bbn Conac 90,,,,", ",", , ",TRUE,SIZE,750ml,,,,,,,shopify,1,deny,manual,54.99,40.19,TRUE,TRUE,,,1,,FALSE,,,,,,,,,,,,,,,,,g,,,TRUE,TRUE,,,active
608c957071c9c90e471bb56c,Ketel One Botanical Grapefruit & Rose Vodka,"Ketel One Botanical Grapefruit & Rose is fit for those who seek zesty mouthwatering grapefruit and the elegance of refined rose petals. Each botanical essence is individually and naturally obtained through innovative extraction methods and distillation processes for the freshest, cleanest, most crisp taste possible.",Ketel One,,"alcohol, spirits, vodka","alcohol, spirits, vodka, vodka",TRUE,SIZE,1L,,,,,,,shopify,12,deny,manual,31.89,24.48,TRUE,TRUE,85156710003,https://d3omj40jjfp5tk.cloudfront.net/products/6095bad57514911a70518af7/original.png,1,,FALSE,,,,,,,,,,,,,,,,,g,,,TRUE,TRUE,,,active
63b0e841a2746469cb6d5008,Macallan M Black 22 90pf,,The Macallan,,"alcohol, spirits, scotch, whiskey","alcohol, spirits, scotch, whiskey, scotch, whiskey",TRUE,SIZE,750ml,,,,,,,shopify,1,deny,manual,9459.99,6349.99,TRUE,TRUE,,https://d3omj40jjfp5tk.cloudfront.net/products/63a39d198f68772934f7efe5/original.png,1,,FALSE,,,,,,,,,,,,,,,,,g,,,TRUE,TRUE,,,active
5fb6011aa56d353b27d2a34b,Patron Gran Patron Piedra Extra Anejo,"Gran Patrón Piedra is made from the finest 100% Weber Blue Agave and is crafted using the centuries-old tahona process at Hacienda Patrón distillery in Jalisco, Mexico. It’s aged in a combination of French Limousin and new American oak barrels for four years and is presented in a distinctive crystal bottle and elegant box. Patrón Tequila has always been Additive-Free because of our unwavering commitment to craft, authenticity, and integrity.",Patron,,"alcohol, spirits, tequila","alcohol, spirits, tequila, tequila",TRUE,SIZE,750ml,,,,,,,shopify,7,deny,manual,384.99,280.76,TRUE,TRUE,7.22E+11,https://d3omj40jjfp5tk.cloudfront.net/products/616832ee74d25874b2d27e51/original.png,1,,FALSE,,,,,,,,,,,,,,,,,g,,,TRUE,TRUE,,,active
5fb60285a56d353b27d35c09,Frangelico Hazelnut Liqueur Frangelico Hazelnut L,"Frangelico is a delicious hazelnut liqueur distilled from hazelnuts grown in Piedmont, Italy and blended with coffee, cocoa, and vanilla extracts.  Frangelico is surprisingly light and extremely versatile, Ideal consumed on the rocks, as a shot, in your coffee, or an espresso martini.",Frangelico,,"alcohol, spirits, liqueur","alcohol, spirits, liqueur, liqueur",TRUE,SIZE,1L,,,,,,,shopify,35,deny,manual,38.49,28.8,TRUE,TRUE,7.21E+11,https://d3omj40jjfp5tk.cloudfront.net/products/6159233059e5b517a01a018b/original.png,1,,FALSE,,,,,,,,,,,,,,,,,g,,,TRUE,TRUE,,,active
5fb60236a56d353b27d33188,Bogle Sauvignon Blanc,"Lively and refreshing, Bogle’s Sauvignon Blanc is made using reductive winemaking techniques and cold fermentation in stainless steel tanks to capture the true and unadulterated essence of the varietal.

Tasting Notes
Citrus and Lemon Grass
Tropical Fruit
Lychee",Bogle Vineyards,,"alcohol, wine, white","alcohol, wine, white, white",TRUE,SIZE,750ml,,,,,,,shopify,46,deny,manual,9.89,7.04,TRUE,TRUE,80887493942,https://d3omj40jjfp5tk.cloudfront.net/products/62e7e4f4d131863dbaec1a57/original.png,1,,FALSE,,,,,,,,,,,,,,,,,g,,,TRUE,TRUE,,,active
63249413327156307faabffc,Gran Castillo Ice Macab,,Castillo,,"alcohol, wine, sparkling","alcohol, wine, sparkling, sparkling",TRUE,SIZE,750ml,,,,,,,shopify,23,deny,manual,10.99,8,TRUE,TRUE,,https://d3omj40jjfp5tk.cloudfront.net/products/6325ed8aff6ab748683b0638/original.png,1,,FALSE,,,,,,,,,,,,,,,,,g,,,TRUE,TRUE,,,active
63f830bc4639a175270d66e0,Porta Vita Rosato Blush Olive Garden,ROSCATO BLK CHERRY 750ML,Roscato,,"alcohol, wine, rose","alcohol, wine, rose, rose",TRUE,SIZE,750ml,,,,,,,shopify,33,deny,manual,12.09,8,TRUE,TRUE,86785110776,https://d3omj40jjfp5tk.cloudfront.net/products/5f2dcb0855ef2601da56852f/original.png,1,,FALSE,,,,,,,,,,,,,,,,,g,,,TRUE,TRUE,,,active
5fb60168a56d353b27d2cad4,Bogle Petite Sirah,"From the Producer - Bogle’s “heritage” Petite Sirah is known for its concentration and jammy, luscious flavors. From the touches of mocha and cocoa on the nose, to the juicy boysenberry and blueberry fruit on the palate, this wine overdelivers after 15 months of American oak aging.",Bogle Vineyards,,"wine, red","wine, red, red",TRUE,SIZE,750ml,,,,,,,shopify,46,deny,manual,9.89,7.04,TRUE,TRUE,80887493744,https://d3omj40jjfp5tk.cloudfront.net/products/62e7e4aed131863dbaec0ead/original.png,1,,FALSE,,,,,,,,,,,,,,,,,g,,,TRUE,TRUE,,,active
5fb60434a56d353b27d432d5,Appleton Estate 12 Year Old Rare Casks Jamaican Rum,"The true expression of our Master Blender’s passion and craft. Its rare and hand-selected rums have all been aged for a minimum of 12 years in the tropical climate of Jamaica for a smooth and sophisticated expression of aged rum. This superb blend reveals aromas of toasted oak, dried fruit and hazelnut, followed by notes of dark cocoa, delicate molasses, orange peel, rich vanilla and hints of coffee.",Appleton Estate,,"alcohol, spirits, rum","alcohol, spirits, rum, rum",TRUE,SIZE,750ml,,,,,,,shopify,0,deny,manual,46.19,36.8,TRUE,TRUE,7.21E+11,https://d3omj40jjfp5tk.cloudfront.net/products/5f8228ac36d168292929844c/original.png,1,,FALSE,,,,,,,,,,,,,,,,,g,,,TRUE,TRUE,,,active
639294d30701084fb8fff0a5,Macallan Double Cask 30yrr Malt,,The Macallan,,"alcohol, spirits, scotch, whiskey","alcohol, spirits, scotch, whiskey, scotch, whiskey",TRUE,SIZE,750ml,,,,,,,shopify,2,deny,manual,4894.99,3410.39,TRUE,TRUE,,https://d3omj40jjfp5tk.cloudfront.net/products/63ab8c3f31541f29192d22d9/original.png,1,,FALSE,,,,,,,,,,,,,,,,,g,,,TRUE,TRUE,,,active
